#0.25#0.5#0.75
percent_admitted#37.0#60.0#87.0
percent_scholarship#12.0#17.0#23.0
out_of_sector_candidates#18.0#40.0#50.0
L2_continuation_rate#43.6#82.3#85.3
diploma_earned_ontime#47.6#58.7#66.8
